 Report Section , Region , PT Mode , Measures , 2010/11 , 2011/12 , 2012/13 , 2013/14 , 2014/15 , 2015/16 , 2016/17 , 2017/18 , 2018/19 , 2019/20 , 2020/21 , 2021/22 , 2022/23 , 2023/24 , 2024/25 
 Regional , Hawkes Bay , Bus , Boardings SuperGold ," 80,727 "," 101,898 "," 118,531 "," 125,649 "," 115,753 "," 118,838 "," 117,419 "," 119,088 "," 115,356 "," 84,960 "," 92,709 "," 65,356 "," 52,638 "," 55,207 "," 64,221 "
 Regional , Hawkes Bay , Bus , Fares ," 822,592 "," 979,472 "," 1,127,073 "," 1,266,096 "," 1,189,593 "," 1,109,845 "," 1,085,169 "," 1,026,323 "," 1,009,103 "," 680,131 "," 518,894 "," 395,724 "," 252,616 "," 525,955 "," 769,210 "
 Regional , Hawkes Bay , Bus , Fleet Size , 20 , 26 , 28 , 26 , 24 , 22 , 23 , 25 , 24 , 24 , 25 , 25 , 25 , 25 , 26 
 Regional , Hawkes Bay , Bus , Passenger kilometres ," 3,882,529 "," 4,770,892 "," 5,558,531 "," 5,838,868 "," 7,555,620 "," 7,161,305 "," 7,335,951 "," 7,047,233 "," 6,949,061 "," 5,413,623 "," 5,487,018 "," 4,789,741 "," 3,955,092 "," 5,058,481 "," 5,473,108 "
 Regional , Hawkes Bay , Bus , Service kilometres ," 794,660 "," 1,036,045 "," 1,146,751 "," 1,200,851 "," 932,537 "," 962,107 "," 1,021,868 "," 1,022,000 "," 1,023,500 "," 1,000,111 "," 5,162,954 "," 5,162,954 "," 5,161,058 "," 919,999 "," 1,050,302 "
 Regional , Hawkes Bay , Bus , SuperGold Fare Substitute ," 173,089 "," 210,796 "," 245,205 "," 259,930 "," 239,458 "," 245,840 "," 242,904 "," 246,357 "," 248,796 "," 236,051 "," 236,330 "," 236,433 "," 251,976 "," 164,723 "," 285,117 "
 Regional , Manawatu-Whanganui , Bus , Boardings ," 1,599,934 "," 1,635,096 "," 1,620,202 "," 1,577,158 "," 1,447,403 "," 1,356,938 "," 1,301,374 "," 1,390,386 "," 1,335,248 "," 993,364 "," 864,522 "," 607,897 "," 838,802 "," 1,078,318 "," 1,402,349 "
 Regional , Manawatu-Whanganui , Bus , Boardings SuperGold ," 90,333 "," 95,649 "," 100,064 "," 102,614 "," 99,231 "," 98,341 "," 100,947 "," 110,753 "," 118,069 "," 83,585 "," 86,870 "," 75,730 "," 89,213 "," 104,474 "," 133,659 "
 Regional , Manawatu-Whanganui , Bus , Fares ," 1,079,544 "," 1,144,606 "," 1,292,679 "," 1,382,208 "," 1,249,700 "," 1,170,942 "," 986,528 "," 1,098,247 "," 1,091,921 "," 700,259 "," 664,680 "," 582,802 "," 738,195 "," 639,146 "," 953,934 "
 Regional , Manawatu-Whanganui , Bus , Fleet Size , 46 , 48 , 52 , 52 , 50 , 52 , 48 , 46 , 45 , 42 , 46 , 44 , 50 , 72 , 73 
 Regional , Manawatu-Whanganui , Bus , Passenger kilometres ," 16,371,395 "," 16,621,807 "," 16,638,914 "," 16,417,477 "," 16,161,786 "," 14,107,670 "," 12,681,922 "," 13,127,422 "," 13,369,334 "," 9,640,769 "," 8,914,763 "," 6,807,273 "," 9,081,991 "," 11,682,623 "," 13,965,194 "
 Regional , Manawatu-Whanganui , Bus , Service kilometres ," 1,375,530 "," 1,381,737 "," 1,422,181 "," 1,391,569 "," 1,394,002 "," 1,440,200 "," 1,528,352 "," 1,703,613 "," 1,611,916 "," 1,536,508 "," 1,626,984 "," 1,603,741 "," 1,725,000 "," 2,119,359 "," 3,561,967 "
 Regional , Manawatu-Whanganui , Bus , SuperGold Fare Substitute ," 116,403 "," 135,255 "," 149,525 "," 154,027 "," 148,156 "," 146,738 "," 155,727 "," 174,858 "," 179,302 "," 210,967 "," 259,671 "," 259,783 "," 274,832 "," 300,905 "," 324,123 "
 Regional , Marlborough-Nelson-Tasman , Bus , Boardings ," 74,237 "," 155,165 "," 376,834 "," 422,824 "," 442,305 "," 439,815 "," 448,928 "," 418,915 "," 440,570 "," 375,039 "," 377,567 "," 331,839 "," 463,328 "," 910,014 "," 936,226 "
 Regional , Marlborough-Nelson-Tasman , Bus , Boardings SuperGold ," 50,910 "," 57,909 "," 68,971 "," 77,557 "," 84,240 "," 85,340 "," 96,195 "," 82,135 "," 94,690 "," 80,164 "," 64,579 "," 56,192 "," 59,065 "," 117,587 "," 118,867 "
 Regional , Marlborough-Nelson-Tasman , Bus , Fares ," 91,172 "," 291,974 "," 926,465 "," 1,024,278 "," 805,707 "," 783,176 "," 769,553 "," 739,392 "," 764,545 "," 563,206 "," 477,438 "," 419,679 "," 352,837 "," 877,348 "," 1,076,267 "
 Regional , Marlborough-Nelson-Tasman , Bus , Fleet Size , 3 , 10 , 11 , 11 , 11 , 12 , 12 , 12 , 14 , 16 , 16 , 16 , 15 , 24 , 24 
 Regional , Marlborough-Nelson-Tasman , Bus , Passenger kilometres ," 613,243 "," 1,012,158 "," 2,505,898 "," 2,802,216 "," 2,987,215 "," 3,148,750 "," 3,114,394 "," 2,973,661 "," 3,098,785 "," 2,650,367 "," 4,030,556 "," 3,845,315 "," 3,859,356 "," 8,087,816 "," 8,499,665 "
 Regional , Marlborough-Nelson-Tasman , Bus , Service kilometres ," 198,276 "," 287,362 "," 479,838 "," 487,901 "," 468,466 "," 510,640 "," 522,653 "," 472,613 "," 519,369 "," 455,810 "," 622,370 "," 596,492 "," 580,754 "," 1,319,077 "," 1,334,826 "
 Regional , Marlborough-Nelson-Tasman , Bus , SuperGold Fare Substitute ," 85,717 "," 94,550 "," 114,075 "," 129,017 "," 140,811 "," 143,110 "," 158,530 "," 138,655 "," 181,329 "," 186,736 "," 184,616 "," 184,696 "," 203,837 "," 221,099 "," 240,993 "
 Regional , Northland , Bus , Boardings ," 287,006 "," 305,735 "," 305,737 "," 323,553 "," 312,821 "," 318,249 "," 320,022 "," 295,067 "," 336,265 "," 313,698 "," 330,221 "," 283,049 "," 348,433 "," 405,076 "," 406,826 "
 Regional , Northland , Bus , Boardings SuperGold ," 50,713 "," 55,322 "," 57,487 "," 58,818 "," 60,096 "," 60,113 "," 59,687 "," 62,614 "," 73,422 "," 58,307 "," 50,976 "," 38,464 "," 35,730 "," 49,079 "," 43,806 "
 Regional , Northland , Bus , Fares ," 527,612 "," 674,644 "," 574,933 "," 561,383 "," 545,875 "," 548,473 "," 609,868 "," 608,142 "," 521,294 "," 386,299 "," 355,552 "," 283,077 "," 328,824 "," 413,521 "," 446,175 "
 Regional , Northland , Bus , Fleet Size , 10 , 13 , 9 , 9 , 8 , 11 , 11 , 11 , 15 , 15 , 14 , 14 , 14 , 14 , 22 
 Regional , Northland , Bus , Passenger kilometres ," 4,660,963 "," 4,954,507 "," 4,953,341 "," 5,232,371 "," 5,102,110 "," 5,231,135 "," 5,041,655 "," 4,641,990 "," 4,747,894 "," 4,301,113 "," 4,591,251 "," 4,608,675 "," 5,574,322 "," 6,669,063 "," 6,616,233 "
 Regional , Northland , Bus , Service kilometres ," 379,825 "," 479,441 "," 382,108 "," 387,601 "," 391,751 "," 464,035 "," 469,915 "," 475,357 "," 534,493 "," 530,366 "," 556,295 "," 514,095 "," 512,954 "," 561,237 "," 562,127 "
 Regional , Northland , Bus , SuperGold Fare Substitute ," 91,978 "," 93,807 "," 97,478 "," 99,735 "," 101,902 "," 101,931 "," 99,863 "," 103,851 "," 123,679 "," 114,855 "," 83,475 "," 83,511 "," 11,877 "," 64,502 "," 64,363 "
 Regional , Northland , Ferry , Boardings ,,,,,,,,,,,,,," 30,153 "," 34,934 "
 Regional , Northland , Ferry , Fares ,,,,,,,,,,,,,," 29,948 "," 30,566 "
 Regional , Northland , Ferry , Passenger kilometres ,,,,,,,,,,,,,," 66,337 "," 76,855 "
 Regional , Otago , Bus , Boardings ," 2,689,157 "," 2,849,372 "," 2,927,188 "," 2,851,770 "," 2,809,010 "," 2,681,639 "," 2,651,996 "," 3,238,717 "," 4,013,254 "," 3,448,757 "," 3,595,254 "," 3,173,918 "," 4,054,167 "," 5,294,327 "," 5,458,646 "
 Regional , Otago , Bus , Boardings SuperGold ," 320,849 "," 333,857 "," 341,442 "," 356,498 "," 353,972 "," 367,790 "," 380,051 "," 405,621 "," 448,091 "," 379,999 "," 396,382 "," 397,909 "," 383,117 "," 378,909 "," 409,615 "
 Regional , Otago , Bus , Fares ," 5,310,546 "," 5,234,801 "," 6,158,430 "," 6,191,511 "," 6,476,113 "," 6,604,047 "," 6,131,913 "," 7,373,568 "," 9,345,476 "," 6,111,987 "," 3,761,331 "," 3,698,858 "," 3,052,973 "," 6,442,530 "," 6,954,368 "
 Regional , Otago , Bus , Fleet Size , 81 , 89 , 96 , 93 , 105 , 94 , 92 , 92 , 93 , 102 , 102 , 102 , 102 , 105 , 106 
 Regional , Otago , Bus , Passenger kilometres ," 16,124,517 "," 16,713,193 "," 17,275,472 "," 16,689,546 "," 15,288,361 "," 14,583,594 "," 14,316,089 "," 18,014,901 ",,,,,," 32,180,320 "," 31,798,497 "
 Regional , Otago , Bus , Service kilometres ," 3,689,782 "," 3,770,639 "," 3,967,851 "," 3,881,055 "," 3,825,319 "," 4,625,482 "," 4,270,622 "," 4,771,688 "," 5,409,774 "," 5,091,003 "," 5,409,247 "," 5,302,365 "," 4,405,490 "," 5,832,363 "," 5,890,552 "
 Regional , Otago , Bus , SuperGold Fare Substitute ," 657,356 "," 668,067 "," 670,563 "," 688,228 "," 684,755 "," 719,159 "," 780,814 "," 826,743 "," 868,080 "," 868,080 "," 808,337 "," 808,687 "," 1,083,978 "," 1,195,945 "," 1,286,591 "
 Regional , Otago , Ferry , Boardings ,,,,,,,,,,,,,," 74,070 "," 71,124 "
 Regional , Otago , Ferry , Fares ,,,,,,,,,,,,,," 779,419 "," 772,776 "
 Regional , Otago , Ferry , Passenger kilometres ,,,,,,,,,,,,,," 672,556 "," 647,228 "
 Regional , Southland , Bus , Boardings ," 373,000 "," 393,000 "," 310,531 "," 266,666 "," 245,118 "," 211,425 "," 198,826 "," 187,183 "," 182,640 "," 148,349 "," 145,586 "," 109,471 "," 141,837 "," 159,968 "," 165,497 "
 Regional , Southland , Bus , Boardings SuperGold ," 25,557 "," 16,161 "," 13,036 "," 16,095 "," 25,733 "," 26,540 "," 26,853 "," 28,649 "," 30,716 "," 26,499 "," 20,621 "," 13,373 "," 15,084 "," 15,532 "," 14,956 "
 Regional , Southland , Bus , Fares ," 171,000 "," 202,000 "," 262,915 "," 333,151 "," 324,889 "," 313,583 "," 294,614 "," 281,814 "," 282,430 "," 196,062 "," 232,129 "," 164,254 "," 239,337 "," 186,752 "," 157,124 "
 Regional , Southland , Bus , Fleet Size , 19 , 10 , 14 , 14 , 13 , 15 , 15 , 17 , 17 , 17 , 17 , 17 , 16 , 16 , 16 
 Regional , Southland , Bus , Passenger kilometres ," 1,223,700 "," 1,289,040 "," 889,907 "," 1,629,000 "," 1,711,948 "," 1,615,197 "," 306,692 "," 306,000 "," 2,058,964 "," 1,093,354 "," 990,547 "," 534,144 "," 642,293 "," 847,463 "," 913,087 "
 Regional , Southland , Bus , Service kilometres ," 430,000 "," 430,000 "," 355,000 "," 301,676 "," 306,692 "," 306,692 "," 306,692 "," 306,692 "," 306,692 "," 277,675 "," 291,479 "," 314,954 "," 314,954 "," 299,824 "," 242,536 "
 Regional , Southland , Bus , SuperGold Fare Substitute ," 34,024 "," 21,009 "," 16,947 "," 9,097 "," 16,528 "," 16,738 "," 21,249 "," 22,670 "," 23,348 "," 27,236 "," 32,623 "," 32,637 "," 66,042 "," 70,450 "," 75,202 "
 Regional , Taranaki , Bus , Boardings ," 497,277 "," 543,317 "," 556,017 "," 584,371 "," 586,306 "," 605,603 "," 614,811 "," 624,286 "," 649,874 "," 537,597 "," 583,674 "," 543,736 "," 694,895 "," 772,768 "," 771,403 "
 Regional , Taranaki , Bus , Boardings SuperGold ," 41,963 "," 44,767 "," 46,828 "," 50,324 "," 51,919 "," 54,918 "," 55,217 "," 56,326 "," 59,480 "," 47,920 "," 50,730 "," 45,738 "," 49,755 "," 45,370 "," 44,644 "
 Regional , Taranaki , Bus , Fares ," 706,296 "," 777,652 "," 809,058 "," 883,308 "," 876,619 "," 924,147 "," 1,043,255 "," 1,047,868 "," 1,078,234 "," 969,108 "," 836,700 "," 745,153 "," 592,280 "," 752,704 "," 1,169,416 "
 Regional , Taranaki , Bus , Fleet Size , 36 , 36 , 37 , 36 , 37 , 40 , 40 , 41 , 43 , 46 , 45 , 51 , 51 , 51 , 51 
 Regional , Taranaki , Bus , Passenger kilometres ," 4,615,457 "," 5,071,909 "," 5,176,741 "," 5,417,954 "," 5,394,506 "," 6,866,883 "," 6,859,635 "," 6,949,591 "," 7,217,761 "," 5,790,532 "," 9,345,148 "," 5,387,420 "," 7,535,954 "," 8,232,286 "," 8,235,630 "
 Regional , Taranaki , Bus , Service kilometres ," 825,768 "," 857,159 "," 853,908 "," 677,241 "," 627,854 "," 826,669 "," 838,662 "," 814,892 "," 800,396 "," 775,629 "," 806,074 "," 1,394,882 "," 1,405,147 "," 824,761 "," 1,028,542 "
 Regional , Taranaki , Bus , SuperGold Fare Substitute ," 93,970 "," 96,240 "," 100,008 "," 106,307 "," 108,270 "," 117,998 "," 121,177 "," 123,364 "," 113,473 "," 139,057 "," 131,474 "," 64,612 "," 52,481 "," 71,711 "," 159,762 "
 Regional , Waikato , Bus , Boardings ," 4,338,802 "," 4,466,401 "," 4,322,894 "," 4,370,780 "," 4,341,361 "," 4,085,467 "," 3,988,518 "," 3,987,294 "," 4,008,457 "," 3,540,660 "," 3,273,457 "," 2,417,731 "," 3,308,192 "," 4,034,702 "," 4,187,597 "
 Regional , Waikato , Bus , Boardings SuperGold ," 348,334 "," 377,973 "," 399,444 "," 432,305 "," 418,018 "," 421,110 "," 418,411 "," 432,787 "," 463,372 "," 342,388 "," 304,363 "," 222,837 "," 276,004 "," 350,677 "," 412,868 "
 Regional , Waikato , Bus , Fares ," 6,134,968 "," 6,776,621 "," 6,232,422 "," 6,428,484 "," 6,282,491 "," 5,981,930 "," 5,711,586 "," 5,825,634 "," 5,941,092 "," 3,820,069 "," 4,469,060 "," 3,881,888 "," 2,801,185 "," 4,117,153 "," 5,852,327 "
 Regional , Waikato , Bus , Fleet Size , 87 , 88 , 88 , 88 , 88 , 89 , 91 , 99 , 105 , 105 , 105 , 118 , 121 , 123 , 111 
 Regional , Waikato , Bus , Passenger kilometres ," 35,165,667 "," 37,655,571 "," 36,924,381 "," 37,326,461 "," 37,075,223 "," 34,889,881 "," 34,061,943 "," 34,051,492 "," 35,773,853 "," 30,721,499 "," 27,955,324 "," 20,614,408 "," 28,251,882 "," 33,442,017 "," 35,762,078 "
 Regional , Waikato , Bus , Service kilometres ," 5,244,111 "," 5,718,423 "," 5,771,515 "," 5,780,209 "," 5,718,423 "," 5,706,752 "," 5,492,695 "," 5,349,662 "," 6,318,108 "," 5,677,221 "," 6,479,652 "," 6,046,228 "," 5,551,715 "," 5,853,600 "," 6,747,728 "
 Regional , Waikato , Bus , SuperGold Fare Substitute ," 659,764 "," 684,559 "," 748,726 "," 842,695 "," 816,885 "," 819,102 "," 809,621 "," 834,581 "," 837,754 "," 945,522 "," 689,773 "," 690,072 "," 983,192 "," 1,063,855 "," 1,147,311 "
 Regional , Waikato , Rail , Boardings , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 38,847 "," 82,230 "," 73,679 "
 Regional , Waikato , Rail , Boardings SuperGold ,,,,,,,,,,,,," 5,647 "," 16,036 "," 15,258 "
 Regional , Waikato , Rail , Fares ,,,,,,,,,,,,," 237,168 "," 637,867 "," 772,707 "
 Regional , Waikato , Rail , Fleet Size ,,,,,,,,,,,,, 12 , 20 , -   
 Regional , Waikato , Rail , Passenger kilometres ,,,,,,,,,,,,," 331,757 "," 681,167 "," 10,315,060 "
 Regional , Waikato , Rail , Service kilometres ,,,,,,,,,,,,," 9,897,160 "," 158,060 "," 167,440 "
 Regional , Waikato , Rail , SuperGold Fare Substitute ,,,,,,,,,,,,,," 1,650 "," 2,921 "
 Regional , Wellington , Bus , Boardings ," 24,022,706 "," 24,108,471 "," 23,607,936 "," 23,981,194 "," 24,098,765 "," 24,331,408 "," 24,437,473 "," 24,716,617 "," 24,746,993 "," 21,335,320 "," 21,670,682 "," 17,654,506 "," 22,272,833 "," 26,139,916 "," 26,193,836 "
 Regional , Wellington , Bus , Boardings SuperGold ," 1,750,030 "," 1,884,154 "," 1,945,675 "," 2,009,768 "," 2,075,325 "," 2,279,102 "," 2,293,596 "," 2,355,491 "," 2,366,943 "," 1,965,254 "," 2,165,453 "," 1,794,007 "," 1,993,603 "," 2,243,097 "," 2,480,800 "
 Regional , Wellington , Bus , Fares ," 48,455,727 "," 50,090,296 "," 50,420,769 "," 51,643,143 "," 52,108,254 "," 52,175,027 "," 52,191,252 "," 52,548,132 "," 42,657,622 "," 32,391,310 "," 36,448,404 "," 24,927,535 "," 17,587,558 "," 31,526,940 "," 39,857,635 "
 Regional , Wellington , Bus , Fleet Size , 505 , 499 , 517 , 505 , 515 , 502 , 517 , 436 , 466 , 451 , 450 , 475 , 445 , 463 , 482 
 Regional , Wellington , Bus , Passenger kilometres ," 165,844,583 "," 167,341,426 "," 167,918,929 "," 167,943,006 "," 168,211,609 "," 169,199,616 "," 169,947,585 "," 171,736,042 "," 162,335,011 "," 127,491,508 "," 121,952,897 "," 97,724,675 "," 119,837,629 "," 157,926,883 "," 162,741,753 "
 Regional , Wellington , Bus , Service kilometres ," 17,005,944 "," 16,780,946 "," 16,071,292 "," 16,550,815 "," 16,754,976 "," 16,683,161 "," 16,000,322 "," 16,107,184 "," 15,031,351 "," 14,753,195 "," 15,486,195 "," 15,509,232 "," 16,148,382 "," 16,616,271 "," 16,614,522 "
 Regional , Wellington , Bus , SuperGold Fare Substitute ," 4,197,908 "," 4,363,425 "," 4,065,850 "," 4,175,554 "," 4,301,509 "," 4,731,285 "," 4,663,563 "," 4,551,117 "," 4,304,889 "," 4,740,933 "," 4,325,949 "," 4,346,754 "," 5,568,844 "," 6,151,480 "," 6,621,038 "
 Regional , Wellington , Exempt Services , Boardings , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Regional , Wellington , Exempt Services , Boardings SuperGold ,,,,,,,,," 220,832 "," 148,903 "," 57,042 "," 40,618 "," 50,085 "," 52,013 "," 50,881 "
 Regional , Wellington , Exempt Services , SuperGold Fare Substitute ,,,,,,,,," 858,062 "," 624,596 "," 106,726 "," 83,641 "," 108,850 "," 108,819 "," 119,480 "
 Regional , Wellington , Ferry , Boardings ," 177,101 "," 176,698 "," 192,549 "," 180,155 "," 179,106 "," 197,889 "," 195,751 "," 204,209 "," 202,201 "," 165,382 "," 167,648 "," 137,424 "," 194,661 "," 187,953 "," 128,459 "
 Regional , Wellington , Ferry , Boardings SuperGold ," 11,261 "," 10,894 "," 13,474 "," 10,811 "," 12,592 "," 14,495 "," 11,771 "," 12,950 "," 14,801 "," 10,381 "," 13,103 "," 11,542 "," 13,121 "," 6,266 "," 12,457 "
 Regional , Wellington , Ferry , Fares ," 1,107,761 "," 1,160,905 "," 1,318,960 "," 1,217,730 "," 1,280,669 "," 1,354,469 "," 1,355,796 "," 1,359,403 "," 1,406,366 "," 1,034,086 "," 1,201,370 "," 1,034,134 "," 1,473,610 "," 932,204 "," 1,174,390 "
 Regional , Wellington , Ferry , Fleet Size , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 
 Regional , Wellington , Ferry , Passenger kilometres ," 1,946,671 "," 1,651,901 "," 1,817,630 "," 1,990,624 "," 1,964,131 "," 2,209,722 "," 2,124,039 "," 2,213,561 "," 2,195,916 "," 1,782,263 "," 1,788,189 "," 1,559,803 "," 2,213,295 "," 2,137,010 "," 1,496,437 "
 Regional , Wellington , Ferry , Service kilometres ," 97,908 "," 106,261 "," 109,083 "," 104,858 "," 100,304 "," 107,216 "," 97,181 "," 95,535 "," 99,226 "," 85,507 "," 118,386 "," 96,282 "," 118,262 "," 102,355 "," 95,036 "
 Regional , Wellington , Ferry , SuperGold Fare Substitute ," 70,388 "," 64,654 "," 83,093 "," 67,216 "," 78,289 "," 90,121 "," 73,185 "," 71,420 "," 81,382 "," 107,796 "," 84,734 "," 83,456 "," 85,404 "," 89,239 "," 93,484 "
 Regional , Wellington , Rail , Boardings ," 11,202,227 "," 11,247,139 "," 11,355,403 "," 11,643,292 "," 12,128,995 "," 12,801,182 "," 13,121,525 "," 13,552,866 "," 14,323,878 "," 11,489,110 "," 11,270,837 "," 8,133,999 "," 10,711,688 "," 11,290,959 "," 10,425,644 "
 Regional , Wellington , Rail , Boardings SuperGold ," 290,509 "," 348,301 "," 405,052 "," 434,467 "," 464,910 "," 548,094 "," 536,821 "," 559,952 "," 580,943 "," 416,093 "," 449,042 "," 357,437 "," 328,458 "," 265,418 "," 340,072 "
 Regional , Wellington , Rail , Fares ," 35,102,000 "," 37,981,404 "," 40,390,621 "," 41,437,709 "," 43,242,806 "," 45,661,790 "," 48,191,936 "," 50,642,622 "," 53,124,457 "," 40,427,574 "," 43,282,900 "," 27,339,539 "," 18,408,462 "," 33,615,844 "," 37,904,323 "
 Regional , Wellington , Rail , Fleet Size , 163 , 166 , 164 , 164 , 164 , 170 , 184 , 190 , 190 , 190 , 190 , 190 , 190 , 190 , -   
 Regional , Wellington , Rail , Passenger kilometres ," 260,940,146 "," 267,528,273 "," 269,476,824 "," 274,211,501 "," 290,527,197 "," 305,684,273 "," 311,011,027 "," 320,102,960 "," 339,526,173 "," 272,506,244 "," 267,388,819 "," 190,217,444 "," 249,801,486 "," 266,335,721 "," 251,420,361 "
